order_id,order_date,customer_id,return_flag,order_amount
ORD0001,2024-07-05,CUST001,True,120.5
ORD0002,2024-07-10,CUST002,False,75.0
ORD0003,2024-08-15,CUST001,True,90.0
ORD0004,2024/09/01,CUST003,False,45.0
ORD0005,2024-10-20,CUST004,True,200.0
ORD0006,2024-11-11,CUST002,True,
ORD0007,2024-11-15,CUST005,False,60.0
ORD0008,2024-12-05,CUST006,True,150.0
ORD0009,2024-12-25,CUST007,False,85.0
ORD0010,2025-01-10,CUST001,True,130.0
ORD0011,2025-01-15,CUST008,False,50.0
ORD0012,2025-02-10,CUST009,True,110.0
ORD0013,2025-02-14,CUST010,False,100.0
ORD0014,2025-03-03,CUST005,True,77.5
ORD0015,,CUST002,False,65.0
ORD0016,2025-03-20,CUST003,True,180.0
ORD0017,2025-04-01,CUST004,False,95.0
ORD0018,2025-04-15,CUST006,True,210.0
ORD0019,2025-05-05,CUST007,True,55.0
ORD0020,2025-05-20,CUST008,False,145.0
ORD0021,2025-06-01,CUST009,True,85.0
ORD0022,2025-06-10,CUST010,False,190.0
ORD0023,2024-07-20,CUST001,True,130.5
ORD0024,2024-08-05,CUST002,False,60.0
ORD0025,2024-09-10,CUST003,True,300.0
ORD0026,2024-10-30,CUST004,False,
ORD0027,2024-11-20,CUST005,True,40.0
ORD0028,2024-12-15,CUST006,False,65.0
ORD0029,2025-01-05,CUST007,True,115.0
ORD0030,2025-01-25,CUST008,False,68.0
ORD0031,2025-02-20,CUST009,True,99.9
ORD0032,2025-03-10,CUST010,False,47.0
ORD0033,2025-03-15,CUST001,True,130.0
ORD0034,2025-04-05,CUST002,False,80.0
ORD0035,2025-04-20,CUST003,True,220.0
ORD0036,2025-05-15,CUST004,False,90.0
ORD0037,2025-06-05,CUST005,True,55.5
ORD0038,2024-07-25,CUST006,False,105.0
ORD0039,2024-08-15,CUST007,True,
ORD0040,2024-09-05,CUST008,False,78.0
ORD0041,2024-10-10,CUST009,True,165.0
ORD0042,2024-11-30,CUST010,False,88.0
ORD0043,2025-06-25,CUST001,True,250.0
ORD0044,2025-06-28,CUST002,False,47.7
ORD0045,2025-06-30,CUST003,True,99.0
ORD0046,2024-07-07,CUST004,False,115.0
ORD0047,2024-08-09,CUST005,True,152.0
ORD0048,2024-09-11,CUST006,False,67.0
ORD0049,2024-10-12,CUST007,True,190.0
ORD0050,2024-11-13,CUST008,False,82.0
ORD0051,2024-12-01,CUST009,True,140.0
ORD0052,2024-12-15,CUST010,False,77.0
ORD0052,2024-12-15,CUST010,False,77.0
ORD0053,2025-01-20,CUST001,True,134.0
ORD0054,2025-02-25,CUST002,False,95.0
ORD0055,2025-03-25,CUST003,True,202.0
ORD0056,2025-04-25,CUST004,False,
ORD0057,2025-05-30,CUST005,True,65.0
ORD0058,2025-06-12,CUST006,False,88.8
ORD0059,2025-06-18,CUST007,True,320.0
